,Drug Name,Composition,Concentration,Pharmaceutical Form
487,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
488,METHYLDOPATE,,250 MG,
489,METHYLDOPATE,,500 MG,
490,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
491,METHYLDOPATE,,500 MG,
492,METHYLDOPATE,,500 MG,
493,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
494,METHYLDOPATE,,500 MG,
495,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
496,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
497,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
498,METHYLDOPATE,,500 MG,
499,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
500,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
501,METHYLDOPATE,,500 MG,
502,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
503,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
504,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
505,METHYLDOPATE,,500 MG,
506,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
507,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
508,METHYLDOPATE,,500 MG,
509,METHYLDOPATE,,250 MG,
510,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
511,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
512,METOPROLOL,SALT TARTARATE,100 MG,
513,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
514,METHYLDOPATE,,500 MG,
515,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
516,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
517,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
518,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
519,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
520,METHYLDOPATE,,500 MG,
521,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
522,METOPROLOL,SALT TARTARATE,100 MG,
523,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
524,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
525,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
526,METHYLDOPATE,,500 MG,
527,METHYLDOPATE,,500 MG,
528,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
529,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
530,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
531,METHYLDOPATE,,500 MG,
532,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
533,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
534,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
535,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
536,METHYLDOPATE,,500 MG,
537,METHYLDOPATE,,500 MG,
538,METHYLDOPATE,,500 MG,
539,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
540,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
541,METHYLDOPATE,,500 MG,
542,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
543,METHYLDOPATE,,500 MG,
544,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
545,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
546,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
547,METHYLDOPATE,,250 MG,
548,METHYLDOPATE,,500 MG,
549,METHYLDOPATE,,500 MG,
550,METHYLDOPATE,,500 MG,
551,METHYLDOPATE,,500 MG,
552,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
553,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
554,METHYLDOPATE,,250 MG,
555,METHYLDOPATE,,500 MG,
556,METHYLDOPATE,,500 MG,
557,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
558,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
559,METHYLDOPATE,,500 MG,
560,METHYLDOPATE,,500 MG,
561,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
562,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
563,METHYLDOPATE,,250 MG,
564,METHYLDOPATE,,500 MG,
565,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
566,METHYLDOPATE,,500 MG,
567,METHYLDOPATE,,500 MG,
568,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
569,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
570,METHYLDOPATE,,500 MG,
571,METHYLDOPATE,,500 MG,
572,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
573,METHYLDOPATE,,500 MG,
574,METHYLDOPATE,,250 MG,
575,METHYLDOPATE,,500 MG,
576,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
577,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
578,METHYLDOPATE,,500 MG,
579,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
580,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
581,METHYLDOPATE,,500 MG,
582,METHYLDOPATE,,250 MG,
583,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
584,METHYLDOPATE,,500 MG,
585,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
586,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
587,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
588,METOPROLOL,SALT TARTARATE,100 MG,
589,METOPROLOL,SALT TARTARATE,100 MG,
590,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
591,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
592,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
593,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
594,METHYLDOPATE,,500 MG,
595,METHYLDOPATE,,500 MG,
596,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
597,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
598,METHYLDOPATE,,500 MG,
599,METHYLDOPATE,,500 MG,
600,METHYLDOPATE,,500 MG,
601,METHYLDOPATE,,500 MG,
602,METHYLDOPATE,,500 MG,
603,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
604,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
605,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
606,METHYLDOPATE,,500 MG,
607,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
608,METHYLDOPATE,,500 MG,
609,METHYLDOPATE,,500 MG,
610,METHYLDOPATE,,500 MG,
611,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
612,METHYLDOPATE,,500 MG,
613,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
614,METHYLDOPATE,,250 MG,
615,METHYLDOPATE,,250 MG,
616,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
617,METHYLDOPATE,,500 MG,
618,METHYLDOPATE,,250 MG,
619,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
620,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
621,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
622,METHYLDOPATE,,500 MG,
623,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
624,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
625,METHYLDOPATE,,250 MG,
626,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
627,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
628,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
629,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
630,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
631,METHYLDOPATE,,500 MG,
632,METHYLDOPATE,,250 MG,
633,METHYLDOPATE,,250 MG,
634,METHYLDOPATE,,250 MG,
635,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
636,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
637,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
638,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
639,METHYLDOPATE,,250 MG,
640,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
641,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
642,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
643,METHYLDOPATE,,500 MG,
644,METHYLDOPATE,,500 MG,
645,METHYLDOPATE,,250 MG,
646,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
647,METHYLDOPATE,,500 MG,
648,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
649,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
650,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
651,METHYLDOPATE,,500 MG,
652,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
653,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
654,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
655,METHYLDOPATE,,500 MG,
656,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
657,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
658,METHYLDOPATE,,500 MG,
659,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
660,METHYLDOPATE,,500 MG,
661,METHYLDOPATE,,500 MG,
662,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
663,TELMISARTAN,ASSOCIATED WITH ANLODIPINE,40 MG + 5 MG,
664,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
665,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80 MG + 25 MG,
666,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
667,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
668,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
669,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
670,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
671,TELMISARTAN,,80 MG,
672,METHYLDOPATE,,500 MG,
673,METHYLDOPATE,,500 MG,
674,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
675,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
676,METOPROLOL,SALT TARTARATE,100 MG,
677,TELMISARTAN,,80 MG,
678,METHYLDOPATE,,500 MG,
679,TELMISARTAN,,80 MG,
680,TELMISARTAN,,40 MG,
681,METHYLDOPATE,,500 MG,
682,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,40MG + 12.5MG,
683,METHYLDOPATE,,500 MG,
684,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
685,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
686,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80 MG + 25 MG,
687,METOPROLOL,SALT TARTARATE,100 MG,
688,METOPROLOL,SALT TARTARATE,100 MG,
689,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
690,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
691,TELMISARTAN,,80 MG,
692,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,40MG + 12.5MG,
693,TELMISARTAN,ASSOCIATED WITH ANLODIPINE,40 MG + 5 MG,
694,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
695,TELMISARTANA,ASSOCIATED WITH_ANLODIPINO,80MG + 5 MG,
696,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
697,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,40MG + 12.5MG,
698,TELMISARTANA,ASSOCIATED WITH_ANLODIPINO,80MG + 5 MG,
699,TELMISARTAN,,80 MG,
700,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
701,TELMISARTAN,,40 MG,
702,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
703,TELMISARTAN,,80 MG,
704,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
705,TELMISARTAN,ASSOCIATED WITH HYDROCHLOROTHIAZIDE,80MG + 12.5MG,
706,TELMISARTAN,,80 MG,
707,METHYLDOPATE,,250 MG,
708,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
709,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
710,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
711,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
712,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
713,METHYLDOPATE,,250 MG,
714,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
715,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
716,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
717,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
718,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
719,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
720,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
721,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
722,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
723,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
724,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
725,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
726,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
727,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
728,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
729,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
730,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
731,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
732,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
733,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
734,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
735,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
736,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
737,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
738,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
739,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
740,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
741,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
742,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
743,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
744,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
745,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
746,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
747,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
748,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
749,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
750,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
751,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
752,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
753,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
754,METHYLDOPATE,,500 MG,
755,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
756,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
757,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
758,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
759,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
760,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
761,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
762,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
763,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
764,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
765,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
766,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
767,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
768,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
769,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
770,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
771,METOPROLOL,SALT TARTARATE,100 MG,
772,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
773,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
774,METHYLDOPATE,,500 MG,
775,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
776,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
777,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
778,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
779,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
780,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
781,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
782,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
783,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
784,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
785,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
786,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
787,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
788,METHYLDOPATE,,250 MG,
789,METHYLDOPATE,,250 MG,
790,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
791,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
792,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
793,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
794,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
795,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
796,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
797,METOPROLOL,SALT TARTARATE,100 MG,
798,TELMISARTAN,,80 MG,
799,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
800,METOPROLOL,,1 MG/ML,INJECTABLE SOLUTION
801,METHYLDOPATE,,250 MG,
802,METHYLDOPATE,,500 MG,
